Cod_com,Candidato (a),Sigla Partido,Votos Totales,Electo(a),Cargo,Año de Elección,Nombres,Apellido Paterno,Apellido Materno,Período,Sexo,Partido
8306,JARA WOLFF OCTAVIO,PPD,3832,SI,DIPUTADO,1989,OCTAVIO,JARA,WOLFF,1990-1994,HOMBRE,POR LA DEMOCRACIA
8307,JARA WOLFF OCTAVIO,PPD,901,SI,DIPUTADO,1989,OCTAVIO,JARA,WOLFF,1990-1994,HOMBRE,POR LA DEMOCRACIA
8308,JARA WOLFF OCTAVIO,PPD,279,SI,DIPUTADO,1989,OCTAVIO,JARA,WOLFF,1990-1994,HOMBRE,POR LA DEMOCRACIA
8309,JARA WOLFF OCTAVIO,PPD,1145,SI,DIPUTADO,1989,OCTAVIO,JARA,WOLFF,1990-1994,HOMBRE,POR LA DEMOCRACIA
8310,JARA WOLFF OCTAVIO,PPD,768,SI,DIPUTADO,1989,OCTAVIO,JARA,WOLFF,1990-1994,HOMBRE,POR LA DEMOCRACIA
8311,JARA WOLFF OCTAVIO,PPD,1194,SI,DIPUTADO,1989,OCTAVIO,JARA,WOLFF,1990-1994,HOMBRE,POR LA DEMOCRACIA
8312,JARA WOLFF OCTAVIO,PPD,2018,SI,DIPUTADO,1989,OCTAVIO,JARA,WOLFF,1990-1994,HOMBRE,POR LA DEMOCRACIA
7201,JARPA REYES SERGIO ONOFRE,RN,9807,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
7202,JARPA REYES SERGIO ONOFRE,RN,1438,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
7203,JARPA REYES SERGIO ONOFRE,RN,913,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
7401,JARPA REYES SERGIO ONOFRE,RN,12862,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
7402,JARPA REYES SERGIO ONOFRE,RN,1848,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
7403,JARPA REYES SERGIO ONOFRE,RN,4635,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
7404,JARPA REYES SERGIO ONOFRE,RN,8335,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
7405,JARPA REYES SERGIO ONOFRE,RN,4341,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
7406,JARPA REYES SERGIO ONOFRE,RN,6835,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
7407,JARPA REYES SERGIO ONOFRE,RN,2691,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
7408,JARPA REYES SERGIO ONOFRE,RN,2106,SI,SENADOR,1989,SERGIO ONOFRE,JARPA,REYES,1990-1994,HOMBRE,RENOVACION NACIONAL
8110,JEAME BARRUETO VICTOR,PPD,41356,SI,DIPUTADO,1989,VICTOR,JEAME,BARRUETO,1990-1994,HOMBRE,POR LA DEMOCRACIA
10101,KUSCHEL SILVA CARLOS IGNACIO,RN,13571,SI,DIPUTADO,1989,CARLOS IGNACIO,KUSCHEL,SILVA,1990-1994,HOMBRE,RENOVACION NACIONAL
10102,KUSCHEL SILVA CARLOS IGNACIO,RN,4486,SI,DIPUTADO,1989,CARLOS IGNACIO,KUSCHEL,SILVA,1990-1994,HOMBRE,RENOVACION NACIONAL
10103,KUSCHEL SILVA CARLOS IGNACIO,RN,978,SI,DIPUTADO,1989,CARLOS IGNACIO,KUSCHEL,SILVA,1990-1994,HOMBRE,RENOVACION NACIONAL
10108,KUSCHEL SILVA CARLOS IGNACIO,RN,2176,SI,DIPUTADO,1989,CARLOS IGNACIO,KUSCHEL,SILVA,1990-1994,HOMBRE,RENOVACION NACIONAL
1101,KUZMICIC CALDERON VLADISLAV,PPD,28291,SI,DIPUTADO,1989,VLADISLAV DUSAN,KUZMICIC,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
1401,KUZMICIC CALDERON VLADISLAV,PPD,905,SI,DIPUTADO,1989,VLADISLAV DUSAN,KUZMICIC,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
1402,KUZMICIC CALDERON VLADISLAV,PPD,76,SI,DIPUTADO,1989,VLADISLAV DUSAN,KUZMICIC,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
1403,KUZMICIC CALDERON VLADISLAV,PPD,94,SI,DIPUTADO,1989,VLADISLAV DUSAN,KUZMICIC,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
1404,KUZMICIC CALDERON VLADISLAV,PPD,235,SI,DIPUTADO,1989,VLADISLAV DUSAN,KUZMICIC,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
1405,KUZMICIC CALDERON VLADISLAV,PPD,406,SI,DIPUTADO,1989,VLADISLAV DUSAN,KUZMICIC,CALDERON,1990-1994,HOMBRE,POR LA DEMOCRACIA
1101,LAGOS COSGROVE JULIO,INDEP,20824,SI,SENADOR,1989,JULIO ELOY,LAGOS,COSGROVE,1990-1994,HOMBRE,INDEPENDIENTE
1401,LAGOS COSGROVE JULIO,INDEP,1126,SI,SENADOR,1989,JULIO ELOY,LAGOS,COSGROVE,1990-1994,HOMBRE,INDEPENDIENTE
1402,LAGOS COSGROVE JULIO,INDEP,302,SI,SENADOR,1989,JULIO ELOY,LAGOS,COSGROVE,1990-1994,HOMBRE,INDEPENDIENTE
1403,LAGOS COSGROVE JULIO,INDEP,171,SI,SENADOR,1989,JULIO ELOY,LAGOS,COSGROVE,1990-1994,HOMBRE,INDEPENDIENTE
1404,LAGOS COSGROVE JULIO,INDEP,332,SI,SENADOR,1989,JULIO ELOY,LAGOS,COSGROVE,1990-1994,HOMBRE,INDEPENDIENTE
1405,LAGOS COSGROVE JULIO,INDEP,451,SI,SENADOR,1989,JULIO ELOY,LAGOS,COSGROVE,1990-1994,HOMBRE,INDEPENDIENTE
15101,LAGOS COSGROVE JULIO,INDEP,17878,SI,SENADOR,1989,JULIO ELOY,LAGOS,COSGROVE,1990-1994,HOMBRE,INDEPENDIENTE
15102,LAGOS COSGROVE JULIO,INDEP,152,SI,SENADOR,1989,JULIO ELOY,LAGOS,COSGROVE,1990-1994,HOMBRE,INDEPENDIENTE
15201,LAGOS COSGROVE JULIO,INDEP,656,SI,SENADOR,1989,JULIO ELOY,LAGOS,COSGROVE,1990-1994,HOMBRE,INDEPENDIENTE
15202,LAGOS COSGROVE JULIO,INDEP,187,SI,SENADOR,1989,JULIO ELOY,LAGOS,COSGROVE,1990-1994,HOMBRE,INDEPENDIENTE
10301,LARRE ASENJO ENRIQUE,INDEP,21934,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
10306,LARRE ASENJO ENRIQUE,INDEP,1453,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
10307,LARRE ASENJO ENRIQUE,INDEP,2153,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14101,LARRE ASENJO ENRIQUE,INDEP,16804,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14102,LARRE ASENJO ENRIQUE,INDEP,847,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14103,LARRE ASENJO ENRIQUE,INDEP,2772,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14104,LARRE ASENJO ENRIQUE,INDEP,2472,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14105,LARRE ASENJO ENRIQUE,INDEP,1192,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14106,LARRE ASENJO ENRIQUE,INDEP,2043,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14107,LARRE ASENJO ENRIQUE,INDEP,3797,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14108,LARRE ASENJO ENRIQUE,INDEP,4527,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14201,LARRE ASENJO ENRIQUE,INDEP,8896,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14202,LARRE ASENJO ENRIQUE,INDEP,2301,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14203,LARRE ASENJO ENRIQUE,INDEP,1744,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
14204,LARRE ASENJO ENRIQUE,INDEP,5778,SI,SENADOR,1989,ENRIQUE,LARRE,ASENJO,1990-1994,HOMBRE,INDEPENDIENTE
6201,LATORRE CARMONA JUAN CARLOS,PDC,1887,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6202,LATORRE CARMONA JUAN CARLOS,PDC,593,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6203,LATORRE CARMONA JUAN CARLOS,PDC,1069,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6204,LATORRE CARMONA JUAN CARLOS,PDC,999,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6205,LATORRE CARMONA JUAN CARLOS,PDC,942,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6206,LATORRE CARMONA JUAN CARLOS,PDC,1479,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6302,LATORRE CARMONA JUAN CARLOS,PDC,2262,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6304,LATORRE CARMONA JUAN CARLOS,PDC,1023,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6305,LATORRE CARMONA JUAN CARLOS,PDC,2079,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6306,LATORRE CARMONA JUAN CARLOS,PDC,1500,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6307,LATORRE CARMONA JUAN CARLOS,PDC,1856,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6308,LATORRE CARMONA JUAN CARLOS,PDC,1165,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6309,LATORRE CARMONA JUAN CARLOS,PDC,630,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6310,LATORRE CARMONA JUAN CARLOS,PDC,4180,SI,DIPUTADO,1989,JUAN CARLOS,LATORRE,CARMONA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9101,LAVANDERO ILLANES JORGE,PDC,51935,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9102,LAVANDERO ILLANES JORGE,PDC,6058,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9103,LAVANDERO ILLANES JORGE,PDC,3418,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9104,LAVANDERO ILLANES JORGE,PDC,553,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9105,LAVANDERO ILLANES JORGE,PDC,4347,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9107,LAVANDERO ILLANES JORGE,PDC,2534,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9109,LAVANDERO ILLANES JORGE,PDC,4197,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9111,LAVANDERO ILLANES JORGE,PDC,7612,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9112,LAVANDERO ILLANES JORGE,PDC,8715,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9114,LAVANDERO ILLANES JORGE,PDC,3836,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9115,LAVANDERO ILLANES JORGE,PDC,1628,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9116,LAVANDERO ILLANES JORGE,PDC,2703,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9117,LAVANDERO ILLANES JORGE,PDC,1857,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9118,LAVANDERO ILLANES JORGE,PDC,1662,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
9120,LAVANDERO ILLANES JORGE,PDC,6273,SI,SENADOR,1989,JORGE EXEQUIEL,LAVANDERO,ILLANES,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
13108,LEAY MORAN CRISTIAN,UDI,12429,SI,DIPUTADO,1989,CRISTIAN ANTONIO,LEAY,MORAN,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
13127,LEAY MORAN CRISTIAN,UDI,21708,SI,DIPUTADO,1989,CRISTIAN ANTONIO,LEAY,MORAN,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
15101,LEBLANC VALENZUELA LUIS,PDC,21030,SI,DIPUTADO,1989,LUIS ENRIQUE,LEBLANC,VALENZUELA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
15102,LEBLANC VALENZUELA LUIS,PDC,44,SI,DIPUTADO,1989,LUIS ENRIQUE,LEBLANC,VALENZUELA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
15201,LEBLANC VALENZUELA LUIS,PDC,166,SI,DIPUTADO,1989,LUIS ENRIQUE,LEBLANC,VALENZUELA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
15202,LEBLANC VALENZUELA LUIS,PDC,74,SI,DIPUTADO,1989,LUIS ENRIQUE,LEBLANC,VALENZUELA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
6102,LETELIER MOREL JUAN PABLO,PAIS,1418,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6103,LETELIER MOREL JUAN PABLO,PAIS,931,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6104,LETELIER MOREL JUAN PABLO,PAIS,1685,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6105,LETELIER MOREL JUAN PABLO,PAIS,2950,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6106,LETELIER MOREL JUAN PABLO,PAIS,5022,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6108,LETELIER MOREL JUAN PABLO,PAIS,4521,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6109,LETELIER MOREL JUAN PABLO,PAIS,865,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6110,LETELIER MOREL JUAN PABLO,PAIS,2122,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6111,LETELIER MOREL JUAN PABLO,PAIS,1085,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6114,LETELIER MOREL JUAN PABLO,PAIS,1411,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6115,LETELIER MOREL JUAN PABLO,PAIS,4267,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
6116,LETELIER MOREL JUAN PABLO,PAIS,2174,SI,DIPUTADO,1989,JUAN PABLO,LETELIER,MOREL,1990-1994,HOMBRE,P.A.I.S.
5801,LONGTON GUERRERO ARTURO,RN,12687,SI,DIPUTADO,1989,ARTURO LUIS,LONGTON,GUERRERO,1990-1994,HOMBRE,RENOVACION NACIONAL
5802,LONGTON GUERRERO ARTURO,RN,3179,SI,DIPUTADO,1989,ARTURO LUIS,LONGTON,GUERRERO,1990-1994,HOMBRE,RENOVACION NACIONAL
5803,LONGTON GUERRERO ARTURO,RN,854,SI,DIPUTADO,1989,ARTURO LUIS,LONGTON,GUERRERO,1990-1994,HOMBRE,RENOVACION NACIONAL
5804,LONGTON GUERRERO ARTURO,RN,6285,SI,DIPUTADO,1989,ARTURO LUIS,LONGTON,GUERRERO,1990-1994,HOMBRE,RENOVACION NACIONAL
13401,LONGUEIRA MONTES PABLO,UDI,22960,SI,DIPUTADO,1989,JUAN PABLO,LONGUEIRA,MONTES,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
13402,LONGUEIRA MONTES PABLO,UDI,7486,SI,DIPUTADO,1989,JUAN PABLO,LONGUEIRA,MONTES,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
13403,LONGUEIRA MONTES PABLO,UDI,1995,SI,DIPUTADO,1989,JUAN PABLO,LONGUEIRA,MONTES,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
13404,LONGUEIRA MONTES PABLO,UDI,5029,SI,DIPUTADO,1989,JUAN PABLO,LONGUEIRA,MONTES,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
13104,MALUENDA CAMPOS MARIA,PPD,26130,SI,DIPUTADO,1989,MARIA,MALUENDA,CAMPOS,1990-1994,MUJER,POR LA DEMOCRACIA
13107,MALUENDA CAMPOS MARIA,PPD,9097,SI,DIPUTADO,1989,MARIA,MALUENDA,CAMPOS,1990-1994,MUJER,POR LA DEMOCRACIA
13128,MALUENDA CAMPOS MARIA,PPD,19712,SI,DIPUTADO,1989,MARIA,MALUENDA,CAMPOS,1990-1994,MUJER,POR LA DEMOCRACIA
13120,MARTINEZ OCAMICA GUTENBERG,PDC,44552,SI,DIPUTADO,1989,GUTENBERG ALEJANDR,MARTINEZ,OCAMICA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
13123,MARTINEZ OCAMICA GUTENBERG,PDC,28301,SI,DIPUTADO,1989,GUTENBERG ALEJANDR,MARTINEZ,OCAMICA,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
8102,MARTINEZ SEPULVEDA JUAN,PAIS,10551,SI,DIPUTADO,1989,JUAN LEONEL,MARTINEZ,SEPULVEDA,1990-1994,HOMBRE,P.A.I.S.
8104,MARTINEZ SEPULVEDA JUAN,PAIS,435,SI,DIPUTADO,1989,JUAN LEONEL,MARTINEZ,SEPULVEDA,1990-1994,HOMBRE,P.A.I.S.
8105,MARTINEZ SEPULVEDA JUAN,PAIS,1367,SI,DIPUTADO,1989,JUAN LEONEL,MARTINEZ,SEPULVEDA,1990-1994,HOMBRE,P.A.I.S.
8107,MARTINEZ SEPULVEDA JUAN,PAIS,4668,SI,DIPUTADO,1989,JUAN LEONEL,MARTINEZ,SEPULVEDA,1990-1994,HOMBRE,P.A.I.S.
8109,MARTINEZ SEPULVEDA JUAN,PAIS,326,SI,DIPUTADO,1989,JUAN LEONEL,MARTINEZ,SEPULVEDA,1990-1994,HOMBRE,P.A.I.S.
8111,MARTINEZ SEPULVEDA JUAN,PAIS,7452,SI,DIPUTADO,1989,JUAN LEONEL,MARTINEZ,SEPULVEDA,1990-1994,HOMBRE,P.A.I.S.
6107,MASFERRER PELLIZZARI JUAN,INDEP,4086,SI,DIPUTADO,1989,JUAN ALFONSO MA,MASFERRER,PELLIZZARI,1990-1994,HOMBRE,INDEPENDIENTE
6112,MASFERRER PELLIZZARI JUAN,INDEP,1996,SI,DIPUTADO,1989,JUAN ALFONSO MA,MASFERRER,PELLIZZARI,1990-1994,HOMBRE,INDEPENDIENTE
6113,MASFERRER PELLIZZARI JUAN,INDEP,1930,SI,DIPUTADO,1989,JUAN ALFONSO MA,MASFERRER,PELLIZZARI,1990-1994,HOMBRE,INDEPENDIENTE
6117,MASFERRER PELLIZZARI JUAN,INDEP,4455,SI,DIPUTADO,1989,JUAN ALFONSO MA,MASFERRER,PELLIZZARI,1990-1994,HOMBRE,INDEPENDIENTE
6301,MASFERRER PELLIZZARI JUAN,INDEP,3501,SI,DIPUTADO,1989,JUAN ALFONSO MA,MASFERRER,PELLIZZARI,1990-1994,HOMBRE,INDEPENDIENTE
6303,MASFERRER PELLIZZARI JUAN,INDEP,2019,SI,DIPUTADO,1989,JUAN ALFONSO MA,MASFERRER,PELLIZZARI,1990-1994,HOMBRE,INDEPENDIENTE
7201,MATTA ARAGAY MANUEL,PDC,8969,SI,DIPUTADO,1989,MANUEL JOSE RAMON,MATTA,ARAGAY,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
7202,MATTA ARAGAY MANUEL,PDC,2421,SI,DIPUTADO,1989,MANUEL JOSE RAMON,MATTA,ARAGAY,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
7203,MATTA ARAGAY MANUEL,PDC,1129,SI,DIPUTADO,1989,MANUEL JOSE RAMON,MATTA,ARAGAY,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
7403,MATTA ARAGAY MANUEL,PDC,4976,SI,DIPUTADO,1989,MANUEL JOSE RAMON,MATTA,ARAGAY,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
7404,MATTA ARAGAY MANUEL,PDC,4820,SI,DIPUTADO,1989,MANUEL JOSE RAMON,MATTA,ARAGAY,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
7405,MATTA ARAGAY MANUEL,PDC,2714,SI,DIPUTADO,1989,MANUEL JOSE RAMON,MATTA,ARAGAY,1990-1994,HOMBRE,DEMOCRATA CRISTIANO
13114,MATTHEI FORNET EVELYN,RN,51290,SI,DIPUTADO,1989,EVELYN ROSE,MATTHEI,FORNET,1990-1994,MUJER,RENOVACION NACIONAL
13115,MATTHEI FORNET EVELYN,RN,5288,SI,DIPUTADO,1989,EVELYN ROSE,MATTHEI,FORNET,1990-1994,MUJER,RENOVACION NACIONAL
13132,MATTHEI FORNET EVELYN,RN,23017,SI,DIPUTADO,1989,EVELYN ROSE,MATTHEI,FORNET,1990-1994,MUJER,RENOVACION NACIONAL
6101,MEKIS MARTINEZ FEDERICO,RN,32985,SI,DIPUTADO,1989,FEDERICO ANDRES,MEKIS,MARTINEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
13124,MELERO ABAROA PATRICIO,UDI,14835,SI,DIPUTADO,1989,PATRICIO,MELERO,ABAROA,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
13125,MELERO ABAROA PATRICIO,UDI,2156,SI,DIPUTADO,1989,PATRICIO,MELERO,ABAROA,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
13301,MELERO ABAROA PATRICIO,UDI,3560,SI,DIPUTADO,1989,PATRICIO,MELERO,ABAROA,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
13302,MELERO ABAROA PATRICIO,UDI,1804,SI,DIPUTADO,1989,PATRICIO,MELERO,ABAROA,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
13303,MELERO ABAROA PATRICIO,UDI,914,SI,DIPUTADO,1989,PATRICIO,MELERO,ABAROA,1990-1994,HOMBRE,UNION DEMOCRATA INDEPENDIENTE
5801,MOLINA VALDIVIESO JORGE,PPD,22457,SI,DIPUTADO,1989,JORGE GUILLERMO,MOLINA,VALDIVIESO,1990-1994,HOMBRE,POR LA DEMOCRACIA
5802,MOLINA VALDIVIESO JORGE,PPD,5675,SI,DIPUTADO,1989,JORGE GUILLERMO,MOLINA,VALDIVIESO,1990-1994,HOMBRE,POR LA DEMOCRACIA
5803,MOLINA VALDIVIESO JORGE,PPD,2082,SI,DIPUTADO,1989,JORGE GUILLERMO,MOLINA,VALDIVIESO,1990-1994,HOMBRE,POR LA DEMOCRACIA
5804,MOLINA VALDIVIESO JORGE,PPD,12376,SI,DIPUTADO,1989,JORGE GUILLERMO,MOLINA,VALDIVIESO,1990-1994,HOMBRE,POR LA DEMOCRACIA
13110,MONTES CISTERNAS CARLOS,PPD,51504,SI,DIPUTADO,1989,CARLOS EDUARDO,MONTES,CISTERNAS,1990-1994,HOMBRE,POR LA DEMOCRACIA
4102,MORALES ADRIASOLA JORGE,RN,11940,SI,DIPUTADO,1989,JORGE CARLOS,MORALES,ADRIASOLA,1990-1994,HOMBRE,RENOVACION NACIONAL
4301,MORALES ADRIASOLA JORGE,RN,4224,SI,DIPUTADO,1989,JORGE CARLOS,MORALES,ADRIASOLA,1990-1994,HOMBRE,RENOVACION NACIONAL
4305,MORALES ADRIASOLA JORGE,RN,653,SI,DIPUTADO,1989,JORGE CARLOS,MORALES,ADRIASOLA,1990-1994,HOMBRE,RENOVACION NACIONAL
4101,MUNIZAGA RODRIGUEZ EUGENIO,RN,19031,SI,DIPUTADO,1989,FERNANDO EUGENIO,MUNIZAGA,RODRIGUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
4103,MUNIZAGA RODRIGUEZ EUGENIO,RN,2038,SI,DIPUTADO,1989,FERNANDO EUGENIO,MUNIZAGA,RODRIGUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
4104,MUNIZAGA RODRIGUEZ EUGENIO,RN,172,SI,DIPUTADO,1989,FERNANDO EUGENIO,MUNIZAGA,RODRIGUEZ,1990-1994,HOMBRE,RENOVACION NACIONAL
